disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
4759,2024-02-15 00:00:00+00:00,DR,Fire,WILDFIRES,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,February 2024,2024
5087,2015-06-29 00:00:00+00:00,FM,Fire,SLEEPY HOLLOW FIRE,10,Washington,Closed,2022-03-17T00:00:00.000Z,,351548.09,0.0,30888.59,299093.74,0.0,0.0,21565.76,0.0,June 2015,2015
5094,2015-08-05 00:00:00+00:00,FM,Fire,HIGHWAY 8 FIRE,10,Washington,Closed,2021-09-27T00:00:00.000Z,,33602.22,0.0,14182.35,0.0,0.0,0.0,19419.87,0.0,August 2015,2015
5390,2021-06-09 00:00:00+00:00,FM,Fire,JACKS VALLEY FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2021,2021
5402,2021-07-22 00:00:00+00:00,FM,Fire,TAMARACK FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2021,2021
5242,2018-06-17 00:00:00+00:00,FM,Fire,UPPER COLONY FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2018,2018
5098,2015-08-14 00:00:00+00:00,FM,Fire,NINE MILE FIRE,10,Washington,Closed,2022-04-06T00:00:00.000Z,,43150.66,0.0,22035.91,0.0,0.0,0.0,21114.75,0.0,August 2015,2015
5319,2020-07-07 00:00:00+00:00,FM,Fire,NUMBERS FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2020,2020
5322,2020-07-21 00:00:00+00:00,FM,Fire,ROCKFARM FIRE,9,Nevada,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2020,2020
5485,2023-08-27 00:00:00+00:00,FM,Fire,LIONS CAMP ROAD FIRE ,6,Louisiana,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2023,2023
5104,2015-08-15 00:00:00+00:00,FM,Fire,OKANAGAN COUNTY FIRE COMPLEX,10,Washington,Closed,2021-09-28T00:00:00.000Z,,21540.47,0.0,4275.0,0.0,0.0,0.0,17265.47,0.0,August 2015,2015
